sub_region_1,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Abruzzo,2020-02-15,2.0,2.0,36.0,9.0,0.0,-1.0
Abruzzo,2020-02-16,2.0,8.0,47.0,26.0,-1.0,-2.0
Abruzzo,2020-02-17,-1.0,2.0,11.0,7.0,1.0,-1.0
Abruzzo,2020-02-18,1.0,2.0,22.0,5.0,2.0,-1.0
Abruzzo,2020-02-19,-4.0,-1.0,-12.0,1.0,1.0,0.0
Abruzzo,2020-02-20,1.0,4.0,-3.0,5.0,1.0,0.0
Abruzzo,2020-02-21,1.0,3.0,6.0,7.0,0.0,-1.0
Abruzzo,2020-02-22,1.0,6.0,34.0,8.0,0.0,0.0
Abruzzo,2020-02-23,2.0,17.0,54.0,20.0,3.0,-2.0
Abruzzo,2020-02-24,5.0,19.0,25.0,2.0,-10.0,1.0
Abruzzo,2020-02-25,4.0,7.0,50.0,-3.0,-15.0,3.0
Abruzzo,2020-02-26,-5.0,1.0,-10.0,-11.0,-3.0,2.0
Abruzzo,2020-02-27,-3.0,3.0,-1.0,-8.0,0.0,2.0
Abruzzo,2020-02-28,-3.0,2.0,-3.0,-11.0,-1.0,2.0
Abruzzo,2020-02-29,-2.0,2.0,21.0,-7.0,0.0,1.0
Abruzzo,2020-03-01,-7.0,4.0,-2.0,-11.0,-2.0,2.0
Abruzzo,2020-03-02,-3.0,3.0,-6.0,-7.0,1.0,1.0
Abruzzo,2020-03-03,-2.0,1.0,-3.0,-10.0,1.0,1.0
Abruzzo,2020-03-04,-2.0,5.0,-4.0,-11.0,0.0,1.0
Abruzzo,2020-03-05,-4.0,7.0,13.0,-16.0,-15.0,5.0
Abruzzo,2020-03-06,-9.0,3.0,-3.0,-22.0,-16.0,6.0
Abruzzo,2020-03-07,-18.0,6.0,-17.0,-31.0,-17.0,8.0
Abruzzo,2020-03-08,-27.0,10.0,-13.0,-32.0,-9.0,7.0
Abruzzo,2020-03-09,-23.0,5.0,-6.0,-38.0,-22.0,9.0
Abruzzo,2020-03-10,-41.0,1.0,-35.0,-51.0,-31.0,15.0
Abruzzo,2020-03-11,-52.0,-18.0,-36.0,-60.0,-38.0,18.0
Abruzzo,2020-03-12,-70.0,-29.0,-61.0,-67.0,-50.0,24.0
Abruzzo,2020-03-13,-74.0,-32.0,-65.0,-72.0,-56.0,28.0
Abruzzo,2020-03-14,-82.0,-42.0,-76.0,-79.0,-61.0,27.0
Abruzzo,2020-03-15,-90.0,-60.0,-82.0,-86.0,-58.0,23.0
Abruzzo,2020-03-16,-73.0,-38.0,-67.0,-75.0,-58.0,26.0
Abruzzo,2020-03-17,-75.0,-43.0,-66.0,-76.0,-60.0,27.0
Abruzzo,2020-03-18,-77.0,-44.0,-72.0,-78.0,-61.0,28.0
Abruzzo,2020-03-19,-77.0,-46.0,-72.0,-79.0,-63.0,29.0
Abruzzo,2020-03-20,-79.0,-42.0,-77.0,-81.0,-63.0,32.0
Abruzzo,2020-03-21,-85.0,-49.0,-85.0,-85.0,-65.0,28.0
Abruzzo,2020-03-22,-94.0,-82.0,-90.0,-89.0,-64.0,25.0
Abruzzo,2020-03-23,-78.0,-44.0,-81.0,-83.0,-67.0,30.0
Abruzzo,2020-03-24,-83.0,-55.0,-83.0,-83.0,-71.0,33.0
Abruzzo,2020-03-25,-82.0,-53.0,-84.0,-83.0,-71.0,33.0
Abruzzo,2020-03-26,-84.0,-58.0,-85.0,-84.0,-72.0,34.0
Abruzzo,2020-03-27,-81.0,-46.0,-84.0,-85.0,-71.0,35.0
Abruzzo,2020-03-28,-86.0,-53.0,-88.0,-87.0,-67.0,30.0
Abruzzo,2020-03-29,-94.0,-84.0,-89.0,-90.0,-63.0,24.0
Abruzzo,2020-03-30,-79.0,-46.0,-78.0,-82.0,-68.0,30.0
Abruzzo,2020-03-31,-91.0,-43.0,-79.0,-81.0,-70.0,32.0
Abruzzo,2020-04-01,-90.0,-39.0,-79.0,-79.0,-69.0,31.0
Abruzzo,2020-04-02,-89.0,-39.0,-77.0,-79.0,-68.0,32.0
Abruzzo,2020-04-03,-83.0,-35.0,-80.0,-82.0,-68.0,33.0
Abruzzo,2020-04-04,-88.0,-43.0,-86.0,-86.0,-65.0,29.0
Abruzzo,2020-04-05,-95.0,-79.0,-90.0,-89.0,-62.0,25.0
Abruzzo,2020-04-06,-81.0,-35.0,-77.0,-81.0,-65.0,29.0
Abruzzo,2020-04-07,-80.0,-34.0,-75.0,-80.0,-66.0,30.0
Abruzzo,2020-04-08,-80.0,-32.0,-77.0,-80.0,-66.0,29.0
Abruzzo,2020-04-09,-79.0,-27.0,-76.0,-79.0,-66.0,30.0
Abruzzo,2020-04-10,-80.0,-22.0,-78.0,-81.0,-68.0,32.0
Abruzzo,2020-04-11,-85.0,-38.0,-84.0,-84.0,-64.0,28.0
Abruzzo,2020-04-12,-96.0,-94.0,-91.0,-92.0,-67.0,25.0
Abruzzo,2020-04-13,-95.0,-95.0,-85.0,-93.0,-89.0,38.0
Abruzzo,2020-04-14,-83.0,-46.0,-80.0,-81.0,-66.0,30.0
Abruzzo,2020-04-15,-79.0,-35.0,-77.0,-77.0,-64.0,29.0
Abruzzo,2020-04-16,-78.0,-37.0,-74.0,-78.0,-63.0,29.0
Abruzzo,2020-04-17,-78.0,-33.0,-76.0,-79.0,-63.0,31.0
Abruzzo,2020-04-18,-83.0,-47.0,-82.0,-83.0,-58.0,26.0
Abruzzo,2020-04-19,-94.0,-92.0,-87.0,-89.0,-58.0,23.0
Abruzzo,2020-04-20,-78.0,-46.0,-81.0,-80.0,-61.0,28.0
Abruzzo,2020-04-21,-80.0,-49.0,-80.0,-80.0,-62.0,29.0
Abruzzo,2020-04-22,-80.0,-50.0,-82.0,-80.0,-62.0,29.0
Abruzzo,2020-04-23,-76.0,-41.0,-74.0,-77.0,-60.0,29.0
Abruzzo,2020-04-24,-73.0,-25.0,-72.0,-76.0,-59.0,28.0
Abruzzo,2020-04-25,-94.0,-94.0,-84.0,-88.0,-74.0,30.0
Abruzzo,2020-04-26,-93.0,-90.0,-84.0,-87.0,-55.0,23.0
Abruzzo,2020-04-27,-69.0,-31.0,-70.0,-73.0,-56.0,25.0
Abruzzo,2020-04-28,-73.0,-39.0,-69.0,-74.0,-57.0,24.0
Abruzzo,2020-04-29,-73.0,-37.0,-70.0,-73.0,-56.0,25.0
Abruzzo,2020-04-30,-68.0,-23.0,-67.0,-71.0,-55.0,24.0
Abruzzo,2020-05-01,-91.0,-93.0,-69.0,-88.0,-85.0,38.0
Abruzzo,2020-05-02,-76.0,-35.0,-74.0,-78.0,-53.0,24.0
Abruzzo,2020-05-03,-90.0,-90.0,-76.0,-83.0,-49.0,21.0
Abruzzo,2020-05-04,-55.0,-23.0,-29.0,-56.0,-45.0,17.0
Abruzzo,2020-05-05,-57.0,-27.0,-21.0,-54.0,-46.0,18.0
Abruzzo,2020-05-06,-61.0,-29.0,-47.0,-60.0,-46.0,19.0
Abruzzo,2020-05-07,-57.0,-27.0,-23.0,-54.0,-45.0,18.0
Abruzzo,2020-05-08,-58.0,-22.0,-25.0,-57.0,-44.0,20.0
Abruzzo,2020-05-09,-62.0,-24.0,-24.0,-55.0,-41.0,16.0
Abruzzo,2020-05-10,-77.0,-84.0,-37.0,-64.0,-30.0,14.0
Abruzzo,2020-05-11,-54.0,-25.0,-30.0,-56.0,-41.0,17.0
Abruzzo,2020-05-12,-54.0,-23.0,-20.0,-53.0,-41.0,17.0
Abruzzo,2020-05-13,-54.0,-23.0,-18.0,-54.0,-40.0,16.0
Abruzzo,2020-05-14,-54.0,-23.0,-17.0,-54.0,-40.0,16.0
Abruzzo,2020-05-15,-55.0,-20.0,-22.0,-56.0,-40.0,18.0
Abruzzo,2020-05-16,-59.0,-21.0,-22.0,-56.0,-35.0,15.0
Abruzzo,2020-05-17,-75.0,-84.0,-25.0,-63.0,-25.0,13.0
Abruzzo,2020-05-18,-35.0,-14.0,-8.0,-46.0,-33.0,12.0
Abruzzo,2020-05-19,-38.0,-15.0,-7.0,-45.0,-35.0,13.0
Abruzzo,2020-05-20,-40.0,-16.0,-25.0,-50.0,-35.0,14.0
Abruzzo,2020-05-21,-36.0,-14.0,-3.0,-42.0,-34.0,13.0
Abruzzo,2020-05-22,-36.0,-13.0,9.0,-45.0,-33.0,13.0
Abruzzo,2020-05-23,-37.0,-13.0,29.0,-36.0,-25.0,8.0
Abruzzo,2020-05-24,-48.0,-49.0,17.0,-44.0,-11.0,7.0
Abruzzo,2020-05-25,-30.0,-15.0,16.0,-43.0,-32.0,10.0
Abruzzo,2020-05-26,-31.0,-12.0,15.0,-40.0,-32.0,11.0
Abruzzo,2020-05-27,-32.0,-12.0,-1.0,-43.0,-31.0,11.0
Abruzzo,2020-05-28,-31.0,-11.0,9.0,-41.0,-31.0,11.0
Abruzzo,2020-05-29,-39.0,-12.0,-34.0,-49.0,-33.0,14.0
Abruzzo,2020-05-30,-35.0,-8.0,-8.0,-37.0,-23.0,10.0
Abruzzo,2020-05-31,-42.0,-38.0,10.0,-44.0,-3.0,7.0
Abruzzo,2020-06-01,-17.0,5.0,28.0,-39.0,-37.0,9.0
Abruzzo,2020-06-02,-29.0,-46.0,180.0,-38.0,-68.0,14.0
Abruzzo,2020-06-03,-23.0,-1.0,20.0,-22.0,-29.0,8.0
Abruzzo,2020-06-04,-23.0,-3.0,18.0,-22.0,-29.0,9.0
Abruzzo,2020-06-05,-23.0,-2.0,-3.0,-27.0,-30.0,11.0
Abruzzo,2020-06-06,-18.0,-5.0,66.0,-5.0,-18.0,3.0
Abruzzo,2020-06-07,-23.0,-25.0,80.0,-3.0,1.0,0.0
Abruzzo,2020-06-08,-21.0,-10.0,4.0,-29.0,-27.0,8.0
Abruzzo,2020-06-09,-19.0,-7.0,16.0,-27.0,-27.0,8.0
Abruzzo,2020-06-10,-17.0,-6.0,25.0,-26.0,-27.0,7.0
Abruzzo,2020-06-11,-17.0,-4.0,12.0,-24.0,-26.0,7.0
Abruzzo,2020-06-12,-15.0,-2.0,53.0,-18.0,-26.0,5.0
Abruzzo,2020-06-13,-18.0,-8.0,70.0,-6.0,-14.0,1.0
Abruzzo,2020-06-14,-22.0,-16.0,54.0,-7.0,6.0,1.0
Abruzzo,2020-06-15,-18.0,-8.0,4.0,-26.0,-25.0,7.0
Abruzzo,2020-06-16,-14.0,-3.0,16.0,-24.0,-25.0,7.0
Abruzzo,2020-06-17,-13.0,-5.0,37.0,-23.0,-23.0,5.0
Abruzzo,2020-06-18,-11.0,-5.0,54.0,-17.0,-23.0,4.0
Abruzzo,2020-06-19,-11.0,-3.0,53.0,-14.0,-24.0,4.0
Abruzzo,2020-06-20,-12.0,-5.0,85.0,3.0,-11.0,0.0
Abruzzo,2020-06-21,-17.0,-18.0,83.0,4.0,12.0,-3.0
Abruzzo,2020-06-22,-8.0,-2.0,39.0,-17.0,-25.0,5.0
Abruzzo,2020-06-23,-7.0,-4.0,82.0,-15.0,-23.0,3.0
Abruzzo,2020-06-24,-6.0,-3.0,80.0,-15.0,-21.0,2.0
Abruzzo,2020-06-25,-7.0,-1.0,75.0,-11.0,-22.0,3.0
Abruzzo,2020-06-26,-6.0,2.0,90.0,-6.0,-23.0,2.0
Abruzzo,2020-06-27,-7.0,-1.0,138.0,22.0,-12.0,-3.0
Abruzzo,2020-06-28,-10.0,-11.0,144.0,22.0,17.0,-6.0
Abruzzo,2020-06-29,1.0,3.0,125.0,-3.0,-21.0,2.0
Abruzzo,2020-06-30,-2.0,1.0,107.0,-9.0,-20.0,2.0
Abruzzo,2020-07-01,-1.0,3.0,105.0,-7.0,-20.0,1.0
Abruzzo,2020-07-02,-3.0,2.0,94.0,-8.0,-20.0,2.0
Abruzzo,2020-07-03,-8.0,2.0,59.0,-8.0,-23.0,4.0
Abruzzo,2020-07-04,-3.0,5.0,87.0,20.0,-14.0,2.0
Abruzzo,2020-07-05,-8.0,-10.0,139.0,23.0,18.0,-6.0
Abruzzo,2020-07-06,0.0,0.0,124.0,-4.0,-20.0,1.0
Abruzzo,2020-07-07,5.0,9.0,130.0,-4.0,-22.0,2.0
Abruzzo,2020-07-08,0.0,0.0,132.0,-6.0,-18.0,0.0
Abruzzo,2020-07-09,1.0,3.0,130.0,-2.0,-19.0,1.0
Abruzzo,2020-07-10,0.0,3.0,132.0,4.0,-20.0,1.0
Abruzzo,2020-07-11,-3.0,-2.0,165.0,34.0,-8.0,-3.0
Abruzzo,2020-07-12,-2.0,1.0,136.0,37.0,17.0,-4.0
Abruzzo,2020-07-13,5.0,5.0,138.0,1.0,-20.0,1.0
Abruzzo,2020-07-14,7.0,5.0,159.0,-3.0,-19.0,1.0
Abruzzo,2020-07-15,8.0,7.0,136.0,-2.0,-18.0,1.0
Abruzzo,2020-07-16,6.0,3.0,140.0,4.0,-18.0,1.0
Abruzzo,2020-07-17,2.0,8.0,84.0,1.0,-23.0,4.0
Abruzzo,2020-07-18,8.0,8.0,148.0,48.0,-12.0,-1.0
Abruzzo,2020-07-19,0.0,-6.0,174.0,47.0,24.0,-7.0
Abruzzo,2020-07-20,8.0,2.0,179.0,10.0,-19.0,0.0
Abruzzo,2020-07-21,9.0,3.0,203.0,3.0,-19.0,-1.0
Abruzzo,2020-07-22,8.0,3.0,190.0,2.0,-16.0,-1.0
Abruzzo,2020-07-23,8.0,6.0,177.0,8.0,-17.0,0.0
Abruzzo,2020-07-24,3.0,5.0,150.0,10.0,-19.0,1.0
Abruzzo,2020-07-25,8.0,7.0,186.0,55.0,-9.0,-2.0
Abruzzo,2020-07-26,2.0,-6.0,198.0,47.0,28.0,-9.0
Abruzzo,2020-07-27,12.0,6.0,199.0,12.0,-18.0,-1.0
Abruzzo,2020-07-28,11.0,8.0,214.0,4.0,-17.0,0.0
Abruzzo,2020-07-29,12.0,6.0,201.0,7.0,-18.0,-1.0
Abruzzo,2020-07-30,11.0,5.0,186.0,9.0,-19.0,0.0
Abruzzo,2020-07-31,10.0,6.0,182.0,19.0,-20.0,0.0
Abruzzo,2020-08-01,7.0,2.0,200.0,68.0,-7.0,-4.0
Abruzzo,2020-08-02,9.0,7.0,194.0,55.0,26.0,-7.0
Abruzzo,2020-08-03,22.0,13.0,229.0,23.0,-20.0,0.0
Abruzzo,2020-08-04,23.0,20.0,225.0,13.0,-22.0,1.0
Abruzzo,2020-08-05,29.0,27.0,174.0,13.0,-26.0,3.0
Abruzzo,2020-08-06,27.0,19.0,206.0,26.0,-23.0,2.0
Abruzzo,2020-08-07,23.0,16.0,224.0,37.0,-23.0,1.0
Abruzzo,2020-08-08,18.0,11.0,239.0,96.0,-10.0,-3.0
Abruzzo,2020-08-09,20.0,8.0,265.0,90.0,30.0,-8.0
Abruzzo,2020-08-10,42.0,26.0,389.0,38.0,-31.0,0.0
Abruzzo,2020-08-11,44.0,28.0,427.0,24.0,-32.0,0.0
Abruzzo,2020-08-12,47.0,32.0,415.0,29.0,-33.0,0.0
Abruzzo,2020-08-13,50.0,40.0,418.0,37.0,-35.0,0.0
Abruzzo,2020-08-14,44.0,63.0,393.0,37.0,-42.0,2.0
Abruzzo,2020-08-15,-9.0,-50.0,368.0,56.0,-42.0,-7.0
Abruzzo,2020-08-16,26.0,18.0,303.0,96.0,25.0,-8.0
Abruzzo,2020-08-17,51.0,37.0,,47.0,-42.0,2.0
Abruzzo,2020-08-18,54.0,39.0,,33.0,-40.0,3.0
Abruzzo,2020-08-19,46.0,28.0,,26.0,-36.0,1.0
Abruzzo,2020-08-20,43.0,25.0,,31.0,-35.0,1.0
Abruzzo,2020-08-21,31.0,22.0,,30.0,-35.0,3.0
Abruzzo,2020-08-22,15.0,4.0,,78.0,-10.0,-3.0
Abruzzo,2020-08-23,13.0,3.0,244.0,77.0,38.0,-8.0
Abruzzo,2020-08-24,26.0,20.0,,25.0,-27.0,4.0
Abruzzo,2020-08-25,32.0,20.0,,13.0,-25.0,2.0
Abruzzo,2020-08-26,27.0,13.0,,12.0,-21.0,1.0
Abruzzo,2020-08-27,26.0,15.0,,14.0,-20.0,1.0
Abruzzo,2020-08-28,20.0,11.0,,16.0,-21.0,1.0
Abruzzo,2020-08-29,6.0,-4.0,,42.0,-3.0,-4.0
Abruzzo,2020-08-30,2.0,1.0,129.0,46.0,31.0,-4.0
Abruzzo,2020-08-31,6.0,8.0,,3.0,-26.0,5.0
Abruzzo,2020-09-01,12.0,10.0,,2.0,-20.0,1.0
Abruzzo,2020-09-02,9.0,8.0,,-3.0,-20.0,2.0
Abruzzo,2020-09-03,9.0,7.0,,-2.0,-19.0,2.0
Abruzzo,2020-09-04,6.0,4.0,,5.0,-18.0,1.0
Abruzzo,2020-09-05,0.0,-7.0,157.0,23.0,-3.0,-3.0
Abruzzo,2020-09-06,-1.0,-12.0,146.0,33.0,37.0,-7.0
Abruzzo,2020-09-07,3.0,0.0,,-1.0,-19.0,1.0
Abruzzo,2020-09-08,6.0,3.0,,0.0,-20.0,1.0
Abruzzo,2020-09-09,4.0,2.0,,-3.0,-17.0,0.0
Abruzzo,2020-09-10,4.0,1.0,,-2.0,-18.0,-1.0
Abruzzo,2020-09-11,3.0,2.0,96.0,1.0,-19.0,-2.0
Abruzzo,2020-09-12,-1.0,-7.0,117.0,18.0,-6.0,-6.0
Abruzzo,2020-09-13,-4.0,-13.0,109.0,20.0,32.0,-9.0
Abruzzo,2020-09-14,0.0,-1.0,78.0,-6.0,-17.0,-1.0
Abruzzo,2020-09-15,3.0,3.0,86.0,-5.0,-18.0,-1.0
Abruzzo,2020-09-16,3.0,2.0,82.0,-6.0,-17.0,0.0
Abruzzo,2020-09-17,2.0,1.0,66.0,-6.0,-17.0,0.0
Abruzzo,2020-09-18,0.0,1.0,67.0,2.0,-18.0,0.0
Abruzzo,2020-09-19,-2.0,-6.0,93.0,11.0,-7.0,-3.0
Abruzzo,2020-09-20,-3.0,-11.0,89.0,17.0,24.0,-6.0
Abruzzo,2020-09-21,-3.0,-3.0,41.0,-6.0,-22.0,2.0
Abruzzo,2020-09-22,2.0,6.0,55.0,-2.0,-21.0,2.0
Abruzzo,2020-09-23,1.0,12.0,49.0,-1.0,-18.0,3.0
Abruzzo,2020-09-24,1.0,8.0,46.0,4.0,-19.0,1.0
Abruzzo,2020-09-25,-6.0,5.0,22.0,6.0,-20.0,3.0
Abruzzo,2020-09-26,-7.0,2.0,28.0,6.0,-11.0,1.0
Abruzzo,2020-09-27,-22.0,-12.0,-32.0,-14.0,0.0,4.0
Abruzzo,2020-09-28,-5.0,4.0,10.0,0.0,-19.0,3.0
Abruzzo,2020-09-29,0.0,8.0,53.0,4.0,-19.0,1.0
Abruzzo,2020-09-30,-1.0,9.0,47.0,6.0,-17.0,0.0
Abruzzo,2020-10-01,-3.0,10.0,36.0,6.0,-15.0,0.0
Abruzzo,2020-10-02,-4.0,9.0,38.0,12.0,-16.0,0.0
Abruzzo,2020-10-03,-8.0,1.0,40.0,13.0,-12.0,0.0
Abruzzo,2020-10-04,-7.0,-10.0,56.0,13.0,4.0,-1.0
Abruzzo,2020-10-05,-6.0,4.0,27.0,7.0,-17.0,1.0
Abruzzo,2020-10-06,-4.0,7.0,42.0,4.0,-17.0,0.0
Abruzzo,2020-10-07,-11.0,4.0,-6.0,-4.0,-15.0,3.0
Abruzzo,2020-10-08,-5.0,8.0,25.0,2.0,-13.0,2.0
Abruzzo,2020-10-09,-7.0,7.0,31.0,5.0,-14.0,1.0
Abruzzo,2020-10-10,-9.0,-1.0,59.0,6.0,-9.0,1.0
Abruzzo,2020-10-11,-21.0,-11.0,-13.0,-8.0,-2.0,4.0
Abruzzo,2020-10-12,-13.0,1.0,-13.0,-4.0,-15.0,4.0
Abruzzo,2020-10-13,-10.0,5.0,18.0,-4.0,-18.0,5.0
Abruzzo,2020-10-14,-9.0,9.0,15.0,-4.0,-12.0,3.0
Abruzzo,2020-10-15,-12.0,8.0,-6.0,-7.0,-13.0,5.0
Abruzzo,2020-10-16,-12.0,8.0,4.0,-1.0,-13.0,4.0
Abruzzo,2020-10-17,-16.0,1.0,20.0,-3.0,-11.0,4.0
Abruzzo,2020-10-18,-19.0,-13.0,36.0,-4.0,-4.0,3.0
Abruzzo,2020-10-19,-12.0,1.0,16.0,-7.0,-14.0,4.0
Abruzzo,2020-10-20,-11.0,4.0,26.0,-6.0,-14.0,4.0
Abruzzo,2020-10-21,-10.0,6.0,25.0,-8.0,-12.0,4.0
Abruzzo,2020-10-22,-12.0,5.0,17.0,-6.0,-12.0,4.0
Abruzzo,2020-10-23,-14.0,7.0,13.0,-6.0,-14.0,5.0
Abruzzo,2020-10-24,-23.0,2.0,-17.0,-15.0,-14.0,7.0
Abruzzo,2020-10-25,-24.0,-12.0,22.0,-14.0,-6.0,5.0
Abruzzo,2020-10-26,-18.0,1.0,11.0,-13.0,-17.0,6.0
Abruzzo,2020-10-27,-18.0,6.0,6.0,-15.0,-20.0,7.0
Abruzzo,2020-10-28,-17.0,7.0,18.0,-17.0,-20.0,7.0
Abruzzo,2020-10-29,-19.0,5.0,1.0,-18.0,-20.0,8.0
Abruzzo,2020-10-30,-21.0,8.0,9.0,-15.0,-22.0,8.0
Abruzzo,2020-10-31,-24.0,5.0,34.0,-11.0,-21.0,7.0
Abruzzo,2020-11-01,-33.0,-17.0,17.0,-19.0,-14.0,7.0
Abruzzo,2020-11-02,-19.0,2.0,13.0,-20.0,-23.0,8.0
Abruzzo,2020-11-03,-19.0,3.0,14.0,-21.0,-23.0,8.0
Abruzzo,2020-11-04,-21.0,3.0,1.0,-26.0,-22.0,9.0
Abruzzo,2020-11-05,-23.0,1.0,-13.0,-29.0,-22.0,11.0
Abruzzo,2020-11-06,-26.0,3.0,-13.0,-29.0,-23.0,11.0
Abruzzo,2020-11-07,-32.0,-4.0,23.0,-26.0,-24.0,11.0
Abruzzo,2020-11-08,-41.0,-32.0,37.0,-32.0,-17.0,9.0
Abruzzo,2020-11-09,-22.0,-4.0,7.0,-30.0,-22.0,10.0
Abruzzo,2020-11-10,-10.0,18.0,16.0,-20.0,-23.0,7.0
Abruzzo,2020-11-11,-41.0,-5.0,-9.0,-39.0,-26.0,13.0
Abruzzo,2020-11-12,-40.0,-4.0,-17.0,-40.0,-25.0,14.0
Abruzzo,2020-11-13,-40.0,-1.0,-17.0,-37.0,-26.0,15.0
Abruzzo,2020-11-14,-52.0,-11.0,-38.0,-52.0,-30.0,17.0
Abruzzo,2020-11-15,-65.0,-43.0,-26.0,-59.0,-30.0,16.0
Abruzzo,2020-11-16,-32.0,2.0,-25.0,-41.0,-26.0,12.0
Abruzzo,2020-11-17,-37.0,0.0,-36.0,-43.0,-28.0,14.0
Abruzzo,2020-11-18,-52.0,-19.0,-35.0,-48.0,-31.0,17.0
Abruzzo,2020-11-19,-50.0,-16.0,-37.0,-49.0,-31.0,17.0
Abruzzo,2020-11-20,-57.0,-24.0,-61.0,-54.0,-34.0,20.0
Abruzzo,2020-11-21,-59.0,-15.0,-62.0,-61.0,-36.0,20.0
Abruzzo,2020-11-22,-73.0,-49.0,-61.0,-70.0,-38.0,19.0
Abruzzo,2020-11-23,-44.0,-15.0,-31.0,-46.0,-30.0,15.0
Abruzzo,2020-11-24,-44.0,-12.0,-31.0,-46.0,-31.0,15.0
Abruzzo,2020-11-25,-43.0,-9.0,-30.0,-44.0,-29.0,15.0
Abruzzo,2020-11-26,-43.0,-9.0,-30.0,-44.0,-28.0,15.0
Abruzzo,2020-11-27,-44.0,-5.0,-32.0,-45.0,-29.0,16.0
Abruzzo,2020-11-28,-52.0,-11.0,-45.0,-55.0,-33.0,17.0
Abruzzo,2020-11-29,-72.0,-45.0,-72.0,-70.0,-37.0,19.0
Abruzzo,2020-11-30,-40.0,-11.0,-34.0,-44.0,-28.0,14.0
Abruzzo,2020-12-01,-39.0,-4.0,-27.0,-40.0,-29.0,14.0
Abruzzo,2020-12-02,-42.0,-7.0,-39.0,-45.0,-27.0,15.0
Abruzzo,2020-12-03,-42.0,-7.0,-45.0,-43.0,-27.0,16.0
Abruzzo,2020-12-04,-40.0,1.0,-35.0,-39.0,-27.0,15.0
Abruzzo,2020-12-05,-49.0,-7.0,-42.0,-48.0,-30.0,16.0
Abruzzo,2020-12-06,-70.0,-44.0,-68.0,-66.0,-34.0,18.0
Abruzzo,2020-12-07,-29.0,9.0,-14.0,-44.0,-40.0,14.0
Abruzzo,2020-12-08,-59.0,-48.0,-36.0,-64.0,-76.0,29.0
Abruzzo,2020-12-09,-28.0,6.0,-17.0,-32.0,-23.0,11.0
Abruzzo,2020-12-10,-30.0,5.0,-20.0,-31.0,-22.0,12.0
Abruzzo,2020-12-11,-32.0,5.0,-25.0,-34.0,-23.0,12.0
Abruzzo,2020-12-12,-45.0,-5.0,-31.0,-42.0,-26.0,15.0
Abruzzo,2020-12-13,-52.0,-27.0,-24.0,-45.0,-22.0,14.0
Abruzzo,2020-12-14,-25.0,1.0,-17.0,-32.0,-23.0,10.0
Abruzzo,2020-12-15,-25.0,7.0,-10.0,-28.0,-24.0,10.0
Abruzzo,2020-12-16,-24.0,10.0,-6.0,-27.0,-22.0,10.0
Abruzzo,2020-12-17,-24.0,10.0,-12.0,-22.0,-21.0,10.0
Abruzzo,2020-12-18,-25.0,14.0,-15.0,-20.0,-22.0,11.0
Abruzzo,2020-12-19,-34.0,6.0,-11.0,-13.0,-23.0,11.0
Abruzzo,2020-12-20,-47.0,-13.0,-14.0,-25.0,-15.0,12.0
Abruzzo,2020-12-21,-13.0,18.0,-6.0,-28.0,-22.0,8.0
Abruzzo,2020-12-22,-12.0,29.0,6.0,-22.0,-24.0,8.0
Abruzzo,2020-12-23,-3.0,55.0,20.0,-15.0,-24.0,6.0
Abruzzo,2020-12-24,-41.0,14.0,-32.0,-57.0,-59.0,20.0
Abruzzo,2020-12-25,-83.0,-88.0,-49.0,-84.0,-82.0,30.0
Abruzzo,2020-12-26,-87.0,-87.0,-70.0,-81.0,-71.0,26.0
Abruzzo,2020-12-27,-68.0,-26.0,-60.0,-63.0,-30.0,16.0
Abruzzo,2020-12-28,-24.0,5.0,-25.0,-41.0,-41.0,15.0
Abruzzo,2020-12-29,-19.0,19.0,7.0,-31.0,-41.0,13.0
Abruzzo,2020-12-30,-13.0,44.0,8.0,-31.0,-39.0,12.0
Abruzzo,2020-12-31,-41.0,17.0,-25.0,-61.0,-57.0,20.0
Aosta,2020-02-15,8.0,5.0,27.0,12.0,2.0,-1.0
Aosta,2020-02-16,9.0,6.0,14.0,14.0,1.0,0.0
Aosta,2020-02-17,11.0,8.0,14.0,5.0,1.0,0.0
Aosta,2020-02-18,12.0,7.0,25.0,9.0,3.0,-1.0
Aosta,2020-02-19,5.0,7.0,10.0,3.0,2.0,0.0
Aosta,2020-02-20,11.0,4.0,31.0,8.0,0.0,-1.0
Aosta,2020-02-21,11.0,9.0,29.0,16.0,0.0,-1.0
Aosta,2020-02-22,9.0,10.0,33.0,24.0,2.0,-1.0
Aosta,2020-02-23,18.0,30.0,43.0,36.0,2.0,-3.0
Aosta,2020-02-24,34.0,39.0,62.0,19.0,-18.0,3.0
Aosta,2020-02-25,23.0,23.0,80.0,27.0,-18.0,2.0
Aosta,2020-02-26,0.0,9.0,7.0,-2.0,-17.0,6.0
Aosta,2020-02-27,2.0,3.0,2.0,-1.0,-14.0,7.0
Aosta,2020-02-28,21.0,18.0,36.0,9.0,-13.0,4.0
Aosta,2020-02-29,-1.0,7.0,7.0,3.0,-1.0,2.0
Aosta,2020-03-01,-1.0,11.0,6.0,-2.0,-2.0,2.0
Aosta,2020-03-02,-8.0,2.0,-21.0,-10.0,-1.0,3.0
